time,temperature_2m,precipitation,windspeed_10m,city
2026-05-27 10:00:00,26.8,0.2,6.2,abuja
2026-05-27 11:00:00,27.5,0.2,5.6,abuja
2026-05-27 12:00:00,28.5,0.0,6.7,abuja
2026-05-27 13:00:00,28.6,0.1,5.8,abuja
2026-05-27 14:00:00,28.4,0.2,7.0,abuja
2026-05-27 15:00:00,28.3,0.2,4.2,abuja
2026-05-27 16:00:00,28.2,0.1,6.3,abuja
2026-05-27 17:00:00,26.6,1.1,6.9,abuja
2026-05-27 18:00:00,25.8,0.3,1.8,abuja
2026-05-27 19:00:00,24.0,0.6,8.3,abuja
2026-05-27 20:00:00,23.8,0.2,5.2,abuja
2026-05-27 21:00:00,23.8,0.0,3.6,abuja
2026-05-27 22:00:00,23.9,0.0,3.3,abuja
2026-05-27 23:00:00,23.6,0.0,5.1,abuja
2026-05-25 00:00:00,27.5,0.0,8.8,kano
2026-05-25 01:00:00,26.7,0.0,9.1,kano
2026-05-25 02:00:00,26.2,0.0,10.5,kano
2026-05-25 03:00:00,24.9,0.6,6.2,kano
2026-05-25 04:00:00,24.0,1.9,7.4,kano
2026-05-25 05:00:00,23.8,0.1,11.1,kano
2026-05-25 06:00:00,24.5,0.0,10.0,kano
2026-05-25 07:00:00,25.5,0.0,10.8,kano
2026-05-25 08:00:00,27.0,0.0,10.6,kano
2026-05-25 09:00:00,28.0,0.0,11.0,kano
2026-05-25 10:00:00,29.0,0.0,11.1,kano
2026-05-25 11:00:00,29.9,0.0,9.7,kano
2026-05-25 12:00:00,31.4,0.0,8.7,kano
2026-05-25 13:00:00,32.2,0.0,3.9,kano
2026-05-25 14:00:00,32.4,0.0,4.2,kano
2026-05-25 15:00:00,32.0,0.0,2.7,kano
2026-05-25 16:00:00,31.2,0.1,1.4,kano
2026-05-25 17:00:00,31.0,0.0,2.4,kano
2026-05-25 18:00:00,29.5,0.0,2.7,kano
2026-05-25 19:00:00,28.9,0.0,6.7,kano
2026-05-25 20:00:00,24.5,5.6,13.0,kano
2026-05-25 21:00:00,23.8,1.4,8.3,kano
2026-05-25 22:00:00,24.2,0.0,10.9,kano
2026-05-25 23:00:00,24.5,0.0,10.5,kano
2026-05-26 00:00:00,24.9,0.0,10.4,kano
2026-05-26 01:00:00,24.9,0.0,11.9,kano
2026-05-26 02:00:00,24.7,0.0,9.9,kano
2026-05-26 03:00:00,24.5,0.0,10.4,kano
2026-05-26 04:00:00,24.5,0.0,9.7,kano
2026-05-26 05:00:00,24.5,0.0,10.0,kano
2026-05-26 06:00:00,24.7,0.0,8.2,kano
2026-05-26 07:00:00,26.1,0.0,6.6,kano
2026-05-26 08:00:00,27.9,0.0,6.5,kano
2026-05-26 09:00:00,29.7,0.0,6.3,kano
2026-05-26 10:00:00,31.3,0.0,8.0,kano
2026-05-26 11:00:00,32.5,0.0,7.9,kano
2026-05-26 12:00:00,33.2,0.0,7.0,kano
2026-05-26 13:00:00,34.3,0.0,5.1,kano
2026-05-26 14:00:00,35.0,0.0,4.8,kano
2026-05-26 15:00:00,35.2,0.0,6.1,kano
2026-05-26 16:00:00,34.5,0.0,6.2,kano
2026-05-26 17:00:00,33.2,0.0,1.5,kano
2026-05-26 18:00:00,32.0,0.0,2.3,kano
2026-05-26 19:00:00,29.9,0.0,8.5,kano
2026-05-26 20:00:00,29.2,0.0,10.6,kano
2026-05-26 21:00:00,28.5,0.0,10.6,kano
2026-05-26 22:00:00,27.6,0.0,14.1,kano
2026-05-26 23:00:00,26.5,0.0,11.8,kano
2026-05-27 00:00:00,25.8,0.0,11.8,kano
2026-05-27 01:00:00,25.2,0.0,11.4,kano
2026-05-27 02:00:00,24.9,0.0,11.7,kano
2026-05-27 03:00:00,24.7,0.0,11.6,kano
2026-05-27 04:00:00,24.6,0.0,11.7,kano
2026-05-27 05:00:00,24.8,0.0,11.2,kano
2026-05-27 06:00:00,25.3,0.0,11.1,kano
2026-05-27 07:00:00,26.9,0.0,11.7,kano
2026-05-27 08:00:00,28.5,0.0,12.6,kano
2026-05-27 09:00:00,30.5,0.0,12.2,kano
2026-05-27 10:00:00,32.2,0.0,11.3,kano
2026-05-27 11:00:00,33.6,0.0,10.1,kano
2026-05-27 12:00:00,34.6,0.0,7.9,kano
2026-05-27 13:00:00,35.5,0.0,5.9,kano
2026-05-27 14:00:00,35.8,0.0,3.4,kano
2026-05-27 15:00:00,36.1,0.0,2.3,kano
2026-05-27 16:00:00,35.7,0.0,3.5,kano
2026-05-27 17:00:00,34.8,0.0,3.1,kano
2026-05-27 18:00:00,32.2,0.0,5.2,kano
2026-05-27 19:00:00,28.3,0.0,21.7,kano
2026-05-27 20:00:00,27.1,0.0,12.2,kano
2026-05-27 21:00:00,27.0,0.0,13.9,kano
2026-05-27 22:00:00,26.5,0.0,13.0,kano
2026-05-27 23:00:00,26.4,0.0,14.7,kano
